True_T_x,True_T_y,True_T_z
0.300000,0.000000,0.000000
0.299408,0.018837,0.000000
0.297634,0.037600,0.000000
0.294686,0.056214,0.000000
0.290575,0.074607,0.000000
0.285317,0.092705,0.000000
0.278933,0.110437,0.000000
0.271448,0.127734,0.000000
0.262892,0.144526,0.000000
0.253298,0.160748,0.000000
0.242705,0.176336,0.000000
0.231154,0.191227,0.000000
0.218691,0.205364,0.000000
0.205364,0.218691,0.000000
0.191227,0.231154,0.000000
0.176336,0.242705,0.000000
0.160748,0.253298,0.000000
0.144526,0.262892,0.000000
0.127734,0.271448,0.000000
0.110437,0.278933,0.000000
0.092705,0.285317,0.000000
0.074607,0.290575,0.000000
0.056214,0.294686,0.000000
0.037600,0.297634,0.000000
0.018837,0.299408,0.000000
-0.000000,0.300000,0.000000
-0.018837,0.299408,0.000000
-0.037600,0.297634,0.000000
-0.056214,0.294686,0.000000
-0.074607,0.290575,0.000000
-0.092705,0.285317,0.000000
-0.110437,0.278933,0.000000
-0.127734,0.271448,0.000000
-0.144526,0.262892,0.000000
-0.160748,0.253298,0.000000
-0.176336,0.242705,0.000000
-0.191227,0.231154,0.000000
-0.205364,0.218691,0.000000
-0.218691,0.205364,0.000000
-0.231154,0.191227,0.000000
-0.242705,0.176336,0.000000
-0.253298,0.160748,0.000000
-0.262892,0.144526,0.000000
-0.271448,0.127734,0.000000
-0.278933,0.110437,0.000000
-0.285317,0.092705,0.000000
-0.290575,0.074607,0.000000
-0.294686,0.056214,0.000000
-0.297634,0.037600,0.000000
-0.299408,0.018837,0.000000
-0.300000,-0.000000,0.000000
-0.299408,-0.018837,0.000000
-0.297634,-0.037600,0.000000
-0.294686,-0.056214,0.000000
-0.290575,-0.074607,0.000000
-0.285317,-0.092705,0.000000
-0.278933,-0.110437,0.000000
-0.271448,-0.127734,0.000000
-0.262892,-0.144526,0.000000
-0.253298,-0.160748,0.000000
-0.242705,-0.176336,0.000000
-0.231154,-0.191227,0.000000
-0.218691,-0.205364,0.000000
-0.205364,-0.218691,0.000000
-0.191227,-0.231154,0.000000
-0.176336,-0.242705,0.000000
-0.160748,-0.253298,0.000000
-0.144526,-0.262892,0.000000
-0.127734,-0.271448,0.000000
-0.110437,-0.278933,0.000000
-0.092705,-0.285317,0.000000
-0.074607,-0.290575,0.000000
-0.056214,-0.294686,0.000000
-0.037600,-0.297634,0.000000
-0.018837,-0.299408,0.000000
0.000000,-0.300000,0.000000
0.018837,-0.299408,0.000000
0.037600,-0.297634,0.000000
0.056214,-0.294686,0.000000
0.074607,-0.290575,0.000000
0.092705,-0.285317,0.000000
0.110437,-0.278933,0.000000
0.127734,-0.271448,0.000000
0.144526,-0.262892,0.000000
0.160748,-0.253298,0.000000
0.176336,-0.242705,0.000000
0.191227,-0.231154,0.000000
0.205364,-0.218691,0.000000
0.218691,-0.205364,0.000000
0.231154,-0.191227,0.000000
0.242705,-0.176335,0.000000
0.253298,-0.160748,0.000000
0.262892,-0.144526,0.000000
0.271448,-0.127734,0.000000
0.278933,-0.110437,0.000000
0.285317,-0.092705,0.000000
0.290575,-0.074607,0.000000
0.294686,-0.056214,0.000000
0.297634,-0.037600,0.000000
0.299408,-0.018837,0.000000
